PRODUCTION_CODE_NUMBER,SEASON,EPISODE,AIRDATE,SHOWCASE_SHOWDOWN_ROUND,SPIN,SPINOFF_SPIN?,WINNING_SPIN?,BONUS_SPIN?,CONTESTANT,OUTFIT,GENDER,SCORE_BEFORE_SPIN,TOTAL_SCORE_TO_BEAT,START_SPACE,END_SPACE,REVOLUTIONS,TOTAL_SPACES,SCORE_AFTER_SPIN
9141K,48,148,"May 11, 2020",1,1,,,,GREGORY,CASUAL,M,0,N/A,100,40,2,46,40
9141K,48,148,"May 11, 2020",1,2,,,,GREGORY,CASUAL,M,40,N/A,40,20,2,59,60
9141K,48,148,"May 11, 2020",1,3,,x,,BRADY,CASUAL,M,0,60,20,80,1,37,80
9141K,48,148,"May 11, 2020",1,4,,,,ANGELA,FAN,F,0,80,80,25,1,35,25
9141K,48,148,"May 11, 2020",1,5,,,,ANGELA,FAN,F,25,80,25,100,2,43,BUST
9141K,48,148,"May 11, 2020",2,1,,,,AUSTIN,FAN,M,0,N/A,100,35,3,63,35
9141K,48,148,"May 11, 2020",2,2,,,,AUSTIN,FAN,M,35,N/A,35,85,3,68,BUST
9141K,48,148,"May 11, 2020",2,3,,,,BRITTANY,FAN,F,0,N/A,85,5,2,48,5
9141K,48,148,"May 11, 2020",2,4,,,,BRITTANY,FAN,F,5,N/A,5,40,2,47,45
9141K,48,148,"May 11, 2020",2,5,,,,SUSAN,CASUAL,F,0,45,40,25,1,31,25
9141K,48,148,"May 11, 2020",2,6,,x,,SUSAN,CASUAL,F,25,45,25,50,1,33,75
2802D,6,,"May 2, 1978",1,1,,x,,SYLVIA,CASUAL,F,0,N/A,100,85,1,31,85
2802D,6,,"May 2, 1978",1,2,,,,ELOISE,CASUAL,F,85,85,85,30,2,41,30
2802D,6,,"May 2, 1978",1,3,,,,ELOISE,CASUAL,F,30,85,30,40,1,34,70
2802D,6,,"May 2, 1978",1,4,,,,VERA,CASUAL,F,0,85,40,80,1,36,80
2802D,6,,"May 2, 1978",1,5,,,,VERA,CASUAL,F,80,85,80,55,1,26,BUST
2802D,6,,"May 2, 1978",2,1,,,,RONALD,FORMAL,M,0,N/A,100,55,3,68,55
2802D,6,,"May 2, 1978",2,2,,,,RONALD,FORMAL,M,55,N/A,55,30,3,64,85
2802D,6,,"May 2, 1978",2,3,,x,,LEWIS,CASUAL,F,0,85,30,100,1,28,100
2802D,6,,"May 2, 1978",2,4,,,,KAREN,CASUAL,F,0,100,100,60,2,44,60
2802D,6,,"May 2, 1978",2,5,,,,KAREN,CASUAL,F,60,100,60,35,1,39,95
2443D,5,,"June 29, 1977",1,1,,,,JEAN,CASUAL,F,0,N/A,100,80,2,42,80
2443D,5,,"June 29, 1977",1,2,,x,,BRENDA,CASUAL,F,0,80,80,100,1,38,100
2443D,5,,"June 29, 1977",1,3,,,,ROBIN,CASUAL,F,0,100,100,35,2,43,35
2443D,5,,"June 29, 1977",1,4,,,,ROBIN,CASUAL,F,35,100,35,85,2,48,BUST
2443D,5,,"June 29, 1977",2,1,,,,SARAH,CASUAL,F,0,N/A,100,85,1,31,85
2443D,5,,"June 29, 1977",2,2,,,,ANTONIA,FAN,F,0,85,85,40,1,35,40
2443D,5,,"June 29, 1977",2,3,,x,,ANTONIA,FAN,F,40,85,40,60,1,38,100
2443D,5,,"June 29, 1977",2,4,,,,DIANE,CASUAL,F,0,100,60,50,1,26,50
2443D,5,,"June 29, 1977",2,5,,,,DIANE,CASUAL,F,50,100,50,100,1,30,BUST
6343K,41,,"May 8, 2013",1,1,,,,SANDRA,CASUAL,F,0,N/A,100,15,1,21,15
6343K,41,,"May 8, 2013",1,2,,,,SANDRA,CASUAL,F,15,N/A,15,20,1,24,35
6343K,41,,"May 8, 2013",1,3,,x,,NICHOLAS,FAN,M,0,35,20,100,2,55,100
6343K,41,,"May 8, 2013",1,4,,,,RACHEL,FAN,F,0,100,100,70,1,36,70
6343K,41,,"May 8, 2013",1,5,,,,RACHEL,FAN,F,70,100,70,55,1,32,BUST
6343K,41,,"May 8, 2013",1,6,,,x,NICHOLAS,FAN,M,N/A,N/A,5,10,2,55,N/A
6343K,41,,"May 8, 2013",2,1,,,,JANE,FAN,F,0,N/A,100,30,1,32,30
6343K,41,,"May 8, 2013",2,2,,x,,JANE,FAN,F,0,N/A,30,60,1,32,90
6343K,41,,"May 8, 2013",2,3,,,,LARISSA,FAN,F,0,90,60,40,1,22,40
6343K,41,,"May 8, 2013",2,4,,,,LARISSA,FAN,F,40,90,40,95,1,23,BUST
6343K,41,,"May 8, 2013",2,5,,,,CHRISTOPHER,FAN,M,0,90,95,80,1,33,80
6343K,41,,"May 8, 2013",2,6,,,,CHRISTOPHER,FAN,M,80,90,80,75,1,25,BUST
6171D,15,1,"September 8, 1986",1,1,,x,,RALPH,CASUAL,M,0,N/A,100,95,3,69,95
6171D,15,1,"September 8, 1986",1,2,,,,TOLETHA,CASUAL,F,0,95,95,40,2,57,40
6171D,15,1,"September 8, 1986",1,3,,,,TOLETHA,CASUAL,F,40,95,40,40,3,60,80
6171D,15,1,"September 8, 1986",1,4,,,,LAWRENCE,FORMAL,M,0,95,40,45,2,49,45
6171D,15,1,"September 8, 1986",1,5,,,,LAWRENCE,FORMAL,M,45,95,45,70,3,61,BUST
6171D,15,1,"September 8, 1986",2,1,,,,LAURA,CASUAL,F,0,N/A,100,20,1,25,20
6171D,15,1,"September 8, 1986",2,2,,,,LAURA,CASUAL,F,20,N/A,20,70,1,31,90
6171D,15,1,"September 8, 1986",2,3,,,,DELORIA,FORMAL,F,0,90,70,35,2,47,35
6171D,15,1,"September 8, 1986",2,4,,,,DELORIA,FORMAL,F,35,90,35,55,2,45,90
